columns_and_rows;naive_multiplication_time;better_multiplication_time;blas_time
550;0.179984;0.066015;0.099834
600;0.232000;0.085642;0.128823
600;0.231874;0.085772;0.129163
600;0.235444;0.086684;0.129900
600;0.231853;0.085558;0.129346
600;0.232890;0.085448;0.130015
600;0.298013;0.089288;0.134738
600;0.232097;0.085467;0.129527
600;0.231633;0.085549;0.129358
600;0.231643;0.085716;0.129341
600;0.232841;0.085706;0.129323
650;0.296588;0.109445;0.172410
650;0.295432;0.109841;0.164674
650;0.306754;0.110885;0.164275
650;0.293829;0.108558;0.164406
650;0.293964;0.108614;0.163625
650;0.298625;0.109670;0.163522
650;0.294636;0.108757;0.163696
650;0.294516;0.108727;0.164246
650;0.294386;0.108950;0.164479
650;0.293984;0.108871;0.163859
700;0.517503;0.151030;0.204690
700;0.368687;0.136602;0.204637
700;0.378955;0.142163;0.203740
700;0.368000;0.136891;0.205641
700;0.405749;0.144185;0.205907
700;0.419294;0.141876;0.203202
700;0.368738;0.136411;0.203718
700;0.498095;0.151041;0.212903
700;0.368896;0.137238;0.206959
700;0.376809;0.136601;0.204602
750;0.440475;0.168810;0.249931
750;0.666185;0.194723;0.250538
750;0.439011;0.169388;0.249760
750;0.439316;0.169574;0.249099
750;0.442345;0.174195;0.256258
750;0.455500;0.176944;0.250177
750;0.439084;0.170074;0.249660
750;0.438797;0.170394;0.249890
750;0.439386;0.170046;0.250400
750;0.439061;0.169304;0.249615
800;0.562352;0.206622;0.302981
800;0.561810;0.208981;0.307456
800;0.559850;0.207215;0.307047
800;0.558913;0.207446;0.306871
800;0.558183;0.208648;0.317950
800;0.568898;0.208852;0.309164
800;0.563202;0.208280;0.307085
800;0.571175;0.206686;0.307355
800;0.559230;0.207487;0.305433
800;0.564677;0.208277;0.306471
850;0.752996;0.268532;0.395996
850;0.810308;0.276139;0.391047
850;0.717882;0.261128;0.390272
850;0.729765;0.267098;0.379676
850;0.749662;0.264812;0.385472
850;0.755015;0.269948;0.392271
850;0.711532;0.264675;0.375251
850;0.735120;0.267685;0.380876
850;0.706969;0.258092;0.392350
850;0.718036;0.262636;0.385220
900;1.512770;0.347300;0.513038
900;1.712979;0.358161;0.529218
900;1.528110;0.352468;0.518903
900;1.535019;0.351279;0.511648
900;1.514831;0.352573;0.516753
900;1.522735;0.348665;0.513115
900;1.513847;0.349113;0.518080
900;1.530437;0.356440;0.521418
900;1.529674;0.348335;0.513200
900;1.503959;0.351375;0.489565
950;1.467574;0.430415;0.626155
950;1.768109;0.444371;0.617831
950;1.405367;0.442374;0.625887
950;1.405708;0.442388;0.624972
950;1.404137;0.442331;0.620026
950;1.405127;0.440723;0.620530
950;1.406406;0.441807;0.618739
950;1.413420;0.441935;0.618395
950;1.413853;0.442169;0.616337
950;1.403365;0.441503;0.627604
1000;3.460879;0.513612;0.739746
1000;3.361136;0.516300;0.731265
1000;3.267402;0.512809;0.740335
1000;3.404622;0.513544;0.729594
1000;3.547104;0.514230;0.733544
1000;3.277679;0.513377;0.738872
1000;3.464005;0.515145;0.737600
1000;3.482529;0.514640;0.732226
1000;3.504133;0.512673;0.740367
1000;3.531563;0.513426;0.733976
