columns_and_rows;naive_multiplication_time;better_multiplication_time;blas_time
50;0.000188;0.000103;0.000106
50;0.000111;0.000097;0.000092
50;0.000129;0.000153;0.000105
50;0.000110;0.000096;0.000097
50;0.000111;0.000099;0.000097
50;0.000110;0.000098;0.000095
50;0.000110;0.000096;0.000092
50;0.000110;0.000120;0.000098
50;0.000114;0.000117;0.000134
50;0.000152;0.000184;0.000151
100;0.001325;0.000861;0.000769
100;0.000969;0.000743;0.000716
100;0.000956;0.000728;0.000688
100;0.000955;0.000734;0.000700
100;0.000977;0.000727;0.000684
100;0.000871;0.000667;0.000650
100;0.000959;0.000686;0.000624
100;0.000966;0.000678;0.000672
100;0.000957;0.000705;0.000664
100;0.000917;0.000688;0.000650
150;0.003240;0.002316;0.002157
150;0.003414;0.002285;0.002110
150;0.003170;0.002197;0.002096
150;0.003127;0.002168;0.002060
150;0.003123;0.002164;0.002083
150;0.003136;0.002154;0.002097
150;0.003239;0.002155;0.002058
150;0.003082;0.002157;0.002080
150;0.003140;0.002147;0.002055
150;0.003146;0.002147;0.002064
200;0.008280;0.005032;0.005095
200;0.008323;0.005044;0.005027
200;0.008190;0.005053;0.004985
200;0.008595;0.005065;0.004924
200;0.008199;0.005029;0.005144
200;0.008314;0.005032;0.005117
200;0.008412;0.005282;0.004926
200;0.008201;0.005029;0.004970
200;0.008187;0.005127;0.005028
200;0.008187;0.005026;0.004979
250;0.015704;0.009784;0.009773
250;0.015797;0.009666;0.009860
250;0.015780;0.010011;0.009567
250;0.015861;0.009823;0.009704
250;0.016049;0.009779;0.009573
250;0.016031;0.009651;0.009663
250;0.016051;0.009674;0.009566
250;0.016038;0.009643;0.009766
250;0.015765;0.009745;0.009697
250;0.015839;0.009825;0.009650
300;0.028534;0.016612;0.016681
300;0.028449;0.016752;0.016541
300;0.028409;0.016897;0.016611
300;0.028765;0.016504;0.016542
300;0.028538;0.016599;0.016737
300;0.028776;0.016699;0.016412
300;0.028553;0.016707;0.016478
300;0.028493;0.016953;0.016422
300;0.028670;0.016732;0.017835
300;0.028595;0.016528;0.016440
350;0.049684;0.026042;0.026311
350;0.053638;0.026323;0.026261
350;0.053027;0.026444;0.026359
350;0.053064;0.026363;0.026482
350;0.053431;0.026512;0.026318
350;0.052942;0.026583;0.026280
350;0.053597;0.026532;0.026297
350;0.053773;0.026343;0.026612
350;0.053368;0.026473;0.026303
350;0.053032;0.026486;0.026158
400;0.069780;0.038906;0.038625
400;0.069422;0.039095;0.038935
400;0.069562;0.038995;0.038982
400;0.069346;0.039117;0.039190
400;0.069231;0.038984;0.039017
400;0.069792;0.039036;0.039320
400;0.069639;0.038966;0.038966
400;0.069261;0.038934;0.038769
400;0.069327;0.039130;0.038973
400;0.069659;0.038899;0.038993
450;0.101481;0.055402;0.055043
450;0.102817;0.055307;0.055145
450;0.116898;0.062716;0.060767
450;0.108781;0.055275;0.055121
450;0.102153;0.056030;0.054989
450;0.102358;0.055242;0.055302
450;0.102953;0.055440;0.054974
450;0.101858;0.055079;0.055112
450;0.102132;0.055207;0.054878
450;0.101982;0.055239;0.055158
500;0.150191;0.075567;0.075087
500;0.150305;0.075792;0.075051
500;0.150932;0.075880;0.075420
500;0.150462;0.075550;0.076721
500;0.151287;0.075377;0.078828
500;0.150479;0.075408;0.075961
500;0.155026;0.077857;0.075583
500;0.150132;0.075604;0.075678
500;0.150818;0.075449;0.075529
500;0.150349;0.075444;0.075638
550;0.198986;0.100292;0.100593
550;0.259140;0.100760;0.100372
550;0.199704;0.100501;0.100514
550;0.200262;0.101341;0.100545
550;0.199000;0.100728;0.100403
550;0.199783;0.100879;0.100341
550;0.199505;0.100814;0.100464
550;0.199004;0.100719;0.100302
550;0.199867;0.100594;0.100207
550;0.199345;0.100577;0.100345
600;0.261205;0.131354;0.129080
600;0.261857;0.131332;0.130789
600;0.261132;0.130444;0.129919
600;0.264605;0.131226;0.129983
600;0.262386;0.130793;0.129819
600;0.377877;0.133620;0.130112
600;0.329463;0.133546;0.130647
600;0.261171;0.130934;0.130530
600;0.261137;0.130954;0.129708
600;0.261484;0.131118;0.129586
650;0.324754;0.167874;0.164505
650;0.326284;0.166101;0.164118
650;0.328916;0.168352;0.164210
650;0.328782;0.167112;0.168409
650;0.326137;0.166878;0.166040
650;0.326037;0.167338;0.164620
650;0.389880;0.173627;0.165214
650;0.325926;0.167839;0.165829
650;0.325758;0.166285;0.164281
650;0.326248;0.166285;0.164150
700;0.414032;0.209580;0.204520
700;0.417510;0.208824;0.205342
700;0.422849;0.210312;0.205741
700;0.428272;0.210981;0.204713
700;0.431583;0.212559;0.205194
700;0.415901;0.209362;0.214637
700;0.416974;0.209571;0.204408
700;0.417782;0.209073;0.205415
700;0.416422;0.208109;0.204945
700;0.418313;0.209156;0.204265
750;0.509443;0.258688;0.254220
750;0.635609;0.259604;0.251830
750;0.513474;0.260926;0.265189
750;0.509164;0.263187;0.251987
750;0.518943;0.264905;0.258286
750;0.510496;0.257397;0.252395
750;0.509256;0.257833;0.251257
750;0.509529;0.257592;0.252247
750;0.509855;0.257933;0.251637
750;0.508631;0.259714;0.252230
800;0.637072;0.318765;0.305273
800;0.634105;0.314589;0.307144
800;0.632487;0.315034;0.308045
800;0.631772;0.320452;0.309459
800;0.636396;0.315487;0.308734
800;0.631951;0.314053;0.311864
800;0.636922;0.314605;0.308892
800;0.634958;0.314831;0.307947
800;0.632796;0.315835;0.308428
800;0.636275;0.315286;0.306663
850;0.789664;0.390676;0.390030
850;0.936269;0.402558;0.403870
850;0.835046;0.408300;0.400119
850;0.822411;0.408577;0.408337
850;0.797653;0.394130;0.404422
850;0.817971;0.406019;0.380673
850;0.796228;0.390785;0.402404
850;0.789254;0.395947;0.394452
850;0.783375;0.387652;0.398151
850;0.778014;0.391768;0.390737
900;1.581950;0.514665;0.522740
900;1.721352;0.520007;0.523422
900;1.621395;0.521864;0.520538
900;1.621144;0.524758;0.521824
900;1.613879;0.519993;0.525640
900;1.724597;0.520957;0.521306
900;1.633335;0.521439;0.518919
900;1.587733;0.517918;0.521176
900;1.634842;0.520145;0.525554
900;1.644391;0.522357;0.528327
950;1.505569;0.642067;0.625551
950;1.865631;0.644001;0.626746
950;1.508131;0.644317;0.622322
950;1.505432;0.642538;0.620697
950;1.519006;0.641428;0.621835
950;1.510168;0.642853;0.622868
950;1.518786;0.643132;0.624822
950;1.506728;0.642930;0.630167
950;1.527411;0.642654;0.630730
950;1.503604;0.641819;0.623778
1000;3.470164;0.757890;0.732657
1000;3.539542;0.760971;0.734681
1000;3.562157;0.762174;0.746623
1000;3.401232;0.758991;0.729953
1000;3.473812;0.762836;0.740242
1000;3.396163;0.756724;0.736914
1000;3.394151;0.759970;0.745330
1000;3.387617;0.757690;0.748392
1000;3.496725;0.760321;0.744673
1000;3.543752;0.761057;0.745459
