columns_and_rows;naive_time;better_time;blas_time
950;6.138091;3.516421;0.665592
950;6.134250;3.519801;0.660753
950;6.104089;3.520046;0.668763
950;6.114805;3.518069;0.671133
1000;15.404633;4.110350;0.779303
1000;14.833826;4.106769;0.796207
1000;15.377739;4.113122;0.789778
1000;15.409861;4.118202;0.779017
1000;15.390378;4.111394;0.781275
1000;15.395073;4.114936;0.789675
1000;16.093260;4.111089;0.741944
1000;14.615178;4.110551;0.732812
1000;14.604862;4.086012;0.738872
1000;14.541555;4.097926;0.743033
